Phase,Code,Province,District,Constituency,Contestant,Gender,Party,Alliance,Votes,Won
1,S7BAJ1,7,Bajhang,1,Kalpana Bhandari,Female,Rastriya Janamorcha,Others,49,
1,S7BAJ1,7,Bajhang,1,Bhairav Bahadur Singh,Male,CPN-UML,Left Alliance,32167,1
1,S7BAJ1,7,Bajhang,1,Jogi Bahadur Kunwar,Male,Naya Shakti Party,Others,383,
1,S7BAJ1,7,Bajhang,1,Dharnidhar Nath,Male,Deshbhakta Janaganatantrik Morcha,Others,274,
1,S7DAR1,7,Darchula,1,Dhan Bahadur Kunwar,Male,Jana Samajwadi Party,Others,610,
1,S7DAR1,7,Darchula,1,Manbir Damai,Male,Rastriya Janamorcha,Others,51,
1,S7DAR1,7,Darchula,1,Bikram Singh Dhami,Male,Nepali Congress,Democratic Alliance,22233,
1,S7DAR1,7,Darchula,1,Ganesh Singh Thagunna,Male,CPN-UML,Left Alliance,28998,1
1,S7DAR1,7,Darchula,1,Jitendra Singh Mahara,Male,Naya Shakti Party,Others,308,
1,S7BAI1,7,Baitadi,1,Trilok Bahadur Chand,Male,Unified RPP (Nationalist),Others,538,
1,S7BAI1,7,Baitadi,1,Nara Bahadur Chand,Male,Nepali Congress,Democratic Alliance,28291,
1,S7BAI1,7,Baitadi,1,Biredra Singh Bhandari,Male,Rastriya Janamorcha,Others,302,
1,S7BAI1,7,Baitadi,1,Narayan Dutta Awasti,Male,Bibeksheel Sajha Party,Others,467,
1,S7BAI1,7,Baitadi,1,Damodar Bhandari,Male,CPN-UML,Left Alliance,39524,1
1,S6RUKW1,6,Rukum West,1,Jagat Bahadur Chand,Male,Sanghiya Samajwadi Forum,,256,
1,S6RUKW1,6,Rukum West,1,Gopal Ji Jung Shah,Male,Nepali Congress,Democratic Alliance,15659,
1,S6RUKW1,6,Rukum West,1,Kal Bahadur Nath,Male,CPN-ML,Others,783,
1,S6RUKW1,6,Rukum West,1,Khadak Singh Khadka,Male,Rastriya Janamorcha,Others,191,
1,S6RUKW1,6,Rukum West,1,Sarun Wantha Magar,Male,Naya Shakti Party,Others,624,
1,S6RUKW1,6,Rukum West,1,Janardan Sharma,Male,Maoist Centre,Left Alliance,34402,1
2,S1ILA1,1,Ilam,1,Lalit Bahadur Thebe,Male,Rastriya Janamukti Party,,171,
2,S1ILA1,1,Ilam,1,Dil Bahadur Nemwang,Male,Sanghiya Loktantrik Rastriya Manch,,471,
2,S1ILA1,1,Ilam,1,Surya Kumar Gurung,Male,Mongol National Organization,,1710,
2,S1ILA1,1,Ilam,1,Bhupendra Kattel,Male,Nepali Congress,Democratic Alliance,19638,
2,S1ILA1,1,Ilam,1,Jhalnath Khanal,Male,CPN-UML,Left Alliance,36805,1
2,S1ILA1,1,Ilam,1,Man Bir Lapcha,Male,Naya Shakti Party,,430,
2,S1ILA1,1,Ilam,1,Sachen Dhale,Male,Bibeksheel Sajha Party,,830,
2,S1ILA1,1,Ilam,1,Subash Rai (Chaurase),Male,Sanghiya Samajwadi Forum,,2059,
2,S1ILA2,1,Ilam,2,Dal Bahadur Rai,Male,RJP-N,,149,
2,S1ILA2,1,Ilam,2,Tanka Mani Rai,Male,Deshbhakta Janaganatantrik Morcha,,91,
2,S1ILA2,1,Ilam,2,Keshav Thapa,Male,Nepali Congress,Democratic Alliance,26865,
2,S1ILA2,1,Ilam,2,Krishna Bahadur Khatri,Male,Sanghiya Samajwadi Forum,,1106,
2,S1ILA2,1,Ilam,2,Dipak Kumar Yonghang,Male,Sanghiya Loktantrik Rastriya Manch,,1761,
2,S1ILA2,1,Ilam,2,Galindra Limbu Yonghang,Male,Mongol National Organization,,427,
2,S1ILA2,1,Ilam,2,Khadga Prasad Palungwa,Male,Rastriya Janamukti Party,,1308,
2,S1ILA2,1,Ilam,2,Kul Bahadur Limbu,Male,Rastriya Janamorcha,,70,
2,S1ILA2,1,Ilam,2,Dep Kumar Javegu,Male,Naya Shakti Party,,95,
2,S1ILA2,1,Ilam,2,Subhash Chandra Nemwang,Male,CPN-UML,Left Alliance,36517,1
2,S1JHA,1,Jhapa,1,Dan Bahadur Tamang,Male,Rastriya Janamorcha,,113,
2,S1JHA1,1,Jhapa,1,Santosh Tamang,Male,Mongol National Organization,,1389,
2,S1JHA1,1,Jhapa,1,Dhan Bahadur Subba,Male,Sanghiya Loktantrik Rastriya Manch,,904,
2,S1JHA1,1,Jhapa,1,Bishwa Prakash Sharma,Male,Nepali Congress,Democratic Alliance,33310,
2,S1JHA1,1,Jhapa,1,Surendra Kumar Karki,Male,Maoist Centre,Left Alliance,36173,1
2,S1JHA1,1,Jhapa,1,Bhawani Prasad Dhakal,Male,Unified RPP (Nationalist),,370,
2,S1JHA1,1,Jhapa,1,Bhakta Bahadur Limbu,Male,Sanghiya Samajwadi Forum,,1044,
2,S1JHA2,1,Jhapa,2,Parshuram Magar,Male,Rastriya Janamorcha,,531,
2,S1JHA2,1,Jhapa,2,Man Bahadur Shawa (Limbu),Male,Sanghiya Loktantrik Rastriya Manch,,608,
2,S1JHA2,1,Jhapa,2,Nabin Bastola,Male,Bibeksheel Sajha Party,,1105,
2,S1JHA2,1,Jhapa,2,Homchandra Ghimire,Male,Deshbhakta Janaganatantrik Morcha,,166,
2,S1JHA2,1,Jhapa,2,Pavitra Niroula (Kharel),Female,CPN-UML,Left Alliance,45817,1
2,S1JHA2,1,Jhapa,2,Ganesh Prasad Shiwakoti,Male,Nepal Janata Party,,110,
2,S1JHA2,1,Jhapa,2,Mahabir Rai,Male,RJP-N,,272,
2,S1JHA2,1,Jhapa,2,Uddhav Thapa,Male,Nepali Congress,Democratic Alliance,32050,
2,S1JHA2,1,Jhapa,2,Bhakta Bahadur Budathoki,Male,Naya Shakti Party,,324,
2,S1JHA2,1,Jhapa,2,Brij Kishor Thakur,Male,Unified RPP (Nationalist),,416,
2,S1JHA2,1,Jhapa,2,Akal Bahadur Tamang,Male,Mongol National Organization,,558,
2,S1JHA3,1,Jhapa,3,Deviraman Bhattarai,Male,Unified RPP (Nationalist),,224,
2,S1JHA3,1,Jhapa,3,Sundralal Shah,Male,RJP-N,,378,
2,S1JHA3,1,Jhapa,3,Avichandra Bhandari,Male,Rastriya Janamorcha,,103,
2,S1JHA3,1,Jhapa,3,Krishna Prasad Sitoula,Male,Nepali Congress,Democratic Alliance,31171,
2,S1JHA3,1,Jhapa,3,Min Prasad Chaulagain,Male,Sanghiya Loktantrik Rastriya Manch,,143,
2,S1JHA3,1,Jhapa,3,Sujata Oli (Upreti),Female,Nepal Janata Party,,188,
2,S1JHA3,1,Jhapa,3,Sekendra Rajbanshi,Male,Rastriya Janamukti Party,,161,
2,S1JHA3,1,Jhapa,3,Sajan Subba,Male,Bibeksheel Sajha Party,,153,
2,S1JHA3,1,Jhapa,3,Shyam Bahadur Limbu,Male,Mongol National Organization,,299,
2,S1JHA3,1,Jhapa,3,Rajendra Prasad Lingden,Male,RPP,,44614,1
2,S1JHA3,1,Jhapa,3,Navraj Kharel,Male,CPN-ML,,1306,
2,S1JHA3,1,Jhapa,3,Birendra Prasad Sapkota,Male,Independent,,192,
2,S1JHA4,1,Jhapa,4,Haribhakta Sangroula,Male,Deshbhakta Janaganatantrik Morcha,,151,
2,S1JHA4,1,Jhapa,4,Dilli Prasad Kattel,Male,Independent,,13,
2,S1JHA4,1,Jhapa,4,Tulsiraj Upreti,Male,Bibeksheel Sajha Party,,665,
2,S1JHA4,1,Jhapa,4,Yagya Bahadur Khadka,Male,Independent,,37,
2,S1JHA4,1,Jhapa,4,Gyan Bahadur Imbung Limbu,Male,Sanghiya Loktantrik Rastriya Manch,,1132,
2,S1JHA4,1,Jhapa,4,Parshuram Kafle,Male,Independent,,18,
2,S1JHA4,1,Jhapa,4,Lal Prasad Sawa Limbu,Male,CPN-UML,Left Alliance,43515,1
2,S1JHA4,1,Jhapa,4,Arjun Dev Serma,Male,Rastriya Janamukti Party,,288,
2,S1JHA4,1,Jhapa,4,Deu Kumar Thebe,Male,Nepali Congress,Democratic Alliance,26822,
2,S1JHA4,1,Jhapa,4,Lahan Singh Tumbapo,Male,Sanghiya Samajwadi Forum,,472,
2,S1JHA4,1,Jhapa,4,Tej Bahadur Thapa,Male,Unified RPP (Nationalist),,332,
2,S1JHA4,1,Jhapa,4,Rudra Bahadur Rai,Male,Mongol National Organization,,94,
2,S1JHA4,1,Jhapa,4,Subhash Adhikari,Male,Green Party Nepal,,90,
2,S1JHA5,1,Jhapa,5,Chetnath Thapa,Male,Unified RPP (Nationalist),,257,
2,S1JHA5,1,Jhapa,5,Bhanubhakta Bhattarai,Male,Sanghiya Loktantrik Rastriya Manch,,1380,
2,S1JHA5,1,Jhapa,5,Prem Bahadur Khadka,Male,Independent,,55,
2,S1JHA5,1,Jhapa,5,Indra Raj Adhikari,Male,Independent,,6,
2,S1JHA5,1,Jhapa,5,Satyadev Yadav,Male,Sanghiya Samajwadi Forum,,1915,
2,S1JHA5,1,Jhapa,5,K.P. Sharma Oli,Male,CPN-UML,Left Alliance,57139,1
2,S1JHA5,1,Jhapa,5,Bheshraj Bhattarai,Male,Naya Shakti Party,,296,
2,S1JHA5,1,Jhapa,5,Padam Bahadur Javegu,Male,Rastriya Janamukti Party,,519,
2,S1JHA5,1,Jhapa,5,Shan Bahadur Meche,Male,Mongol National Organization,,116,
2,S1JHA5,1,Jhapa,5,Indra Prasad Neupane,Male,Independent,,13,
2,S1JHA5,1,Jhapa,5,Prakash Gautam,Male,Bibeksheel Sajha Party,,611,
2,S1JHA5,1,Jhapa,5,Basudev Dulal,Male,Deshbhakta Janaganatantrik Morcha,,99,
2,S1JHA5,1,Jhapa,5,Ghanshyam Guragain,Male,CPN-ML,,642,
2,S1JHA5,1,Jhapa,5,Khagendra Adhikari,Male,Nepali Congress,Democratic Alliance,28297,
2,S1TER1,1,Terhathum,1,Shanker Man Limbu,Male,Sanghiya Loktantrik Rastriya Manch,,910,
2,S1TER1,1,Terhathum,1,Dilli Bahadur Budathoki,Male,CPN-ML,,145,
2,S1TER1,1,Terhathum,1,Ganga Bahadur Chongwang Limbu,Male,Mongol National Organization,,45,
2,S1TER1,1,Terhathum,1,Gauri Prasad Kandangwa,Male,Unified RPP (Nationalist),,46,
2,S1TER1,1,Terhathum,1,Bhawani Prasad Khapung,Male,CPN-UML,Left Alliance,21335,1
2,S1TER1,1,Terhathum,1,Tulsi Prasad Adhikari,Male,Sanghiya Samajwadi Forum,,156,
2,S1TER1,1,Terhathum,1,Hari Lal Adhikari,Male,Rastriya Janamorcha,,33,
2,S1TER1,1,Terhathum,1,Tanka Bahadur Bhattarai,Male,Naya Shakti Party,,170,
2,S1TER1,1,Terhathum,1,Sagar Nath Regmi,Male,Rastriya Janamukti Party,,97,
2,S1TER1,1,Terhathum,1,Kali Bahadur Fudong,Male,Deshbhakta Janaganatantrik Morcha,,50,
2,S1TER1,1,Terhathum,1,Sita Gurung,Female,Nepali Congress,Democratic Alliance,19314,
2,S1DHA1,1,Dhankuta,1,Subhan Singh Rai,Male,Unified RPP (Nationalist),,1390,
2,S1DHA1,1,Dhankuta,1,Shyam Man Rai,Male,Mongol National Organization,,94,
2,S1DHA1,1,Dhankuta,1,Sunil Bahadur Thapa,Male,RPP (Democratic),,26874,
2,S1DHA1,1,Dhankuta,1,Chandra Singh Limbu Nemwang,Male,Sanghiya Loktantrik Rastriya Manch,,726,
2,S1DHA1,1,Dhankuta,1,Rajendra Kumar Rai,Male,CPN-UML,Left Alliance,37333,1
2,S1DHA1,1,Dhankuta,1,Indra Bahadur Rasaili,Male,Rastriya Janamukti Party,,147,
2,S1MOR1,1,Morang,1,Yam Prasad Dahal,Male,Independent,,92,
2,S1MOR1,1,Morang,1,Dig Bahadur Limbu,Male,Nepali Congress,Democratic Alliance,31436,
2,S1MOR1,1,Morang,1,Ghanashyam Khatiwada,Male,CPN-UML,Left Alliance,37524,1
2,S1MOR1,1,Morang,1,Ashok Chemjong,Male,Sanghiya Loktantrik Rastriya Manch,,1152,
2,S1MOR1,1,Morang,1,Narendra Shamsher Limbu,Male,Nepal Sanghiya Samajwadi Party,,81,
2,S1MOR1,1,Morang,1,Bhim Bahadur Tamang,Male,Independent,,17,
2,S1MOR1,1,Morang,1,Fiv Raj Limbu,Male,Rastriya Janamukti Party,,197,
2,S1MOR1,1,Morang,1,Suraj Limbu,Male,Mongol National Organization,,183,
2,S1MOR1,1,Morang,1,Raj Kumar Limbu,Male,Sanghiya Samajwadi Forum,,623,
2,S1MOR1,1,Morang,1,Hari Prasad Neupane,Male,Naya Shakti Party,,122,
2,S1MOR2,1,Morang,2,Dipak Koirala,Male,Naya Shakti Party,,249,
2,S1MOR2,1,Morang,2,Thir Bahadur Limbu,Male,Sanghiya Loktantrik Rastriya Manch,,293,
2,S1MOR2,1,Morang,2,Rishikesh Pokhrel,Male,CPN-UML,Left Alliance,34014,
2,S1MOR2,1,Morang,2,Surendra Bhandari ,Male,Rastriya Janamorcha,,93,
2,S1MOR2,1,Morang,2,Minendra Prasad Rijal,Male,Nepali Congress,Democratic Alliance,35819,1
2,S1MOR2,1,Morang,2,Tej Prasad Dhakal,Male,Nepal Majdur Kishan Party,,42,
2,S1MOR2,1,Morang,2,Raghu Hasda Satar,Male,Nepal Janata Party,,280,
2,S1MOR2,1,Morang,2,Kalpana Bimali,Female,Independent,,14,
2,S1MOR2,1,Morang,2,Mahendra Lal Das Kewarat,Male,RJP-N,,2082,
2,S1MOR2,1,Morang,2,Hom Bahadur Adhikari,Male,Deshbhakta Janaganatantrik Morcha,,98,
2,S1MOR2,1,Morang,2,Yuvraj Karki,Male,Sanghiya Samajwadi Forum,,2595,
2,S1MOR2,1,Morang,2,Kusum Lal Sah ,Male,Unified RPP (Nationalist),,210,
2,S1MOR3,1,Morang,3,Bikendra Rai,Male,Mongol National Organization,,417,
2,S1MOR3,1,Morang,3,Diwakar Majhi,Male,Independent,,10,
2,S1MOR3,1,Morang,3,Sunil Kumar Sharma,Male,Nepali Congress,Democratic Alliance,40506,
2,S1MOR3,1,Morang,3,Bhanu Bhakta Dhakal,Male,CPN-UML,Left Alliance,42413,1
2,S1MOR3,1,Morang,3,Ganesh Bahadur Phuyal,Male,Nepal Majdur Kishan Party,,17,
2,S1MOR3,1,Morang,3,Suresh Bhandari,Male,Independent,,10,
2,S1MOR3,1,Morang,3,Purna Bahadur Karki,Male,Independent,,19,
2,S1MOR3,1,Morang,3,Sitaram Budathoki,Male,Deshbhakta Janaganatantrik Morcha,,393,
2,S1MOR3,1,Morang,3,Uddhim Bahadur Khadka,Male,CPN-ML,,1338,
2,S1MOR3,1,Morang,3,Yogendra Dhakal,Male,Rastriya Janamorcha,,65,
2,S1MOR3,1,Morang,3,Kamal Bahadur Gurung,Male,RJP-N,,268,
2,S1MOR3,1,Morang,3,Kedar Dhimal,Male,Sanghiya Samajwadi Forum,,974,
2,S1MOR3,1,Morang,3,Bhavi Raj Limbu,Male,Sanghiya Loktantrik Rastriya Manch,,1013,
2,S1MOR4,1,Morang,4,Kiran Bahadur Chhetri,Male,Deshbhakta Janaganatantrik Morcha,,167,
2,S1MOR4,1,Morang,4,Mahesh Acharya,Male,Nepali Congress,Democratic Alliance,26800,
2,S1MOR4,1,Morang,4,Krishna Kumar Mudiyari,Male,Deshbhakta Janaganatantrik Morcha,,739,
2,S1MOR4,1,Morang,4,Aamlesh Kumar Karna (Kayastha),Male,Bibeksheel Sajha Party,,874,
2,S1MOR4,1,Morang,4,Aman Lal Modi,Male,Maoist Centre,Left Alliance,33529,1
2,S1MOR4,1,Morang,4,Shaligram Raut,Male,Nepal Majdur Kishan Party,,105,
2,S1MOR4,1,Morang,4,Maheswar Kamat,Male,Unified RPP (Nationalist),,1050,
2,S1MOR4,1,Morang,4,Rakesh Chaudhary,Male,Naya Shakti Party,,264,
2,S1MOR4,1,Morang,4,Laxman Sahu,Male,RJP-N,,3401,
2,S1MOR5,1,Morang,5,Anita Kumari Dhakal,Female,Independent,,122,
2,S1MOR5,1,Morang,5,Kurwan Miya,Male,Unified RPP (Nationalist),,667,
2,S1MOR5,1,Morang,5,Badri Prasad Mandal,Male,RJP-N,,1895,
2,S1MOR5,1,Morang,5,Raj Kumar Yadav,Male,Sanghiya Samajwadi Forum,,18649,
2,S1MOR5,1,Morang,5,Amrit Kumar Aryal,Male,Nepali Congress,Democratic Alliance,19153,
2,S1MOR5,1,Morang,5,Amod Damjan,Male,Deshbhakta Janaganatantrik Morcha,,498,
2,S1MOR5,1,Morang,5,Shiva Kumar Mandal( Kewat),Male,Maoist Centre,Left Alliance,22945,1
2,S1MOR6,1,Morang,6,Dukharam Majhi,Male,Sanghiya Loktantrik Rastriya Manch,,189,
2,S1MOR6,1,Morang,6,Panalal Majhi,Male,Mongol National Organization,,152,
2,S1MOR6,1,Morang,6,Tavrej Akhtar Aalam,Male,RJP-N,,1118,
2,S1MOR6,1,Morang,6,Munna Khan,Male,Unified RPP (Nationalist),,289,
2,S1MOR6,1,Morang,6,Rajeshwar Bishwas,Male,Sanghiya Samajwadi Forum,,5261,
2,S1MOR6,1,Morang,6,Mo. Bechan Miya,Male,Deshbhakta Janaganatantrik Morcha,,230,
2,S1MOR6,1,Morang,6,Lal Babu Pandit,Male,CPN-UML,Left Alliance,33941,1
2,S1MOR6,1,Morang,6,Bimala Aryal,Female,Naya Shakti Party,,353,
2,S1MOR6,1,Morang,6,Shekhar Koirala (Dr.),Male,Nepali Congress,Democratic Alliance,33266,
2,S1MOR6,1,Morang,6,Surendra Prasad Sapkota,Male,Nepal Majdur Kishan Party,,74,
2,S1SUN1,1,Sunsari,1,Deep Bahadur Khadka,Male,Rastriya Janamorcha,,110,
2,S1SUN1,1,Sunsari,1,Rupak Kumar Shrestha,Male,Independent,,54,
2,S1SUN1,1,Sunsari,1,Jay Kumar Rai,Male,CPN-UML,Left Alliance,44528,1
2,S1SUN1,1,Sunsari,1,Tikaram Rai,Male,Deshbhakta Janaganatantrik Morcha,,454,
2,S1SUN1,1,Sunsari,1,Padam Bahadur Rai,Male,Naya Shakti Party,,742,
2,S1SUN1,1,Sunsari,1,Harkaraj Bista,Male,CPN-ML,,1366,
2,S1SUN1,1,Sunsari,1,Ashok Kumar Rai,Male,Sanghiya Samajwadi Forum,,22123,
2,S1SUN1,1,Sunsari,1,Naresh Rai,Male,RJP-N,,435,
2,S1SUN1,1,Sunsari,1,Krishna Man Limbu (Thebe),Male,Sanghiya Loktantrik Rastriya Manch,,1521,
2,S1SUN1,1,Sunsari,1,Purna Kala Limbu,Female,Rastriya Janamukti Party,,431,
2,S1SUN1,1,Sunsari,1,Bal Bahadur Rai,Male,Mongol National Organization,,687,
2,S1SUN1,1,Sunsari,1,Balram Pokharel,Male,Unified RPP (Nationalist),,299,
2,S1SUN2,1,Sunsari,2,Yog Maya Timilsina,Female,Unified RPP (Nationalist),,573,
2,S1SUN2,1,Sunsari,2,Umesh Kumar Thapa,Male,Naya Shakti Party,,650,
2,S1SUN2,1,Sunsari,2,Sitaram Mahato,Male,Nepali Congress,Democratic Alliance,41495,1
2,S1SUN2,1,Sunsari,2,Navraj Singh,Male,Independent,,67,
2,S1SUN2,1,Sunsari,2,Nunu Ram Chaudhary,Male,Independent,,759,
2,S1SUN2,1,Sunsari,2,Prabhu Mahato,Male,Independent,,46,
2,S1SUN2,1,Sunsari,2,Birendra Kumar Mahato,Male,Independent,,105,
2,S1SUN2,1,Sunsari,2,Kundan Kumar Mehata,Male,Independent,,69,
2,S1SUN2,1,Sunsari,2,Mohan Kumar Neupane,Male,Nepal Sanghiya Samajwadi Party,,216,
2,S1SUN2,1,Sunsari,2,Munna Devi Mehata,Female,RJP-N,,1674,
2,S1SUN2,1,Sunsari,2,Rajendra Prasad Dhakal,Male,Green Party Nepal,,57,
2,S1SUN2,1,Sunsari,2,Tej Narayan Chaudary,Male,Sanghiya Samajwadi Forum,,4834,
2,S1SUN2,1,Sunsari,2,Indra Bahadur Kandangwa,Male,Sanghiya Loktantrik Rastriya Manch,,623,
2,S1SUN2,1,Sunsari,2,Dammaru Subedi,Male,Maoist Centre,Left Alliance,35349,
2,S1SUN2,1,Sunsari,2,Bal Krishna Subedi,Male,Rastriya Janamorcha,,167,
2,S1SUN2,1,Sunsari,2,Dinesh Kumar Rai,Male,Mongol National Organization,,380,
2,S1SUN3,1,Sunsari,3,Padam Kumar Adhikari,Male,Sanghiya Samajwadi Forum,,1854,
2,S1SUN3,1,Sunsari,3,Santosh Timilsina,Male,Green Party Nepal,,97,
2,S1SUN3,1,Sunsari,3,Krishna Kumar Sanyasi,Male,Independent,,75,
2,S1SUN3,1,Sunsari,3,Manish Prasad Rauniyar,Male,RJP-N,,465,
2,S1SUN3,1,Sunsari,3,Bijay Kumar Gachhadar,Male,Nepali Congress,Democratic Alliance,38972,1
2,S1SUN3,1,Sunsari,3,Bimal Kumar Poudyal,Male,Independent,,38,
2,S1SUN3,1,Sunsari,3,Bhagwati Chaudhary,Female,CPN-UML,Left Alliance,38651,
2,S1SUN3,1,Sunsari,3,Mo. Nasiruddin Miya,Male,Independent,,1063,
2,S1SUN3,1,Sunsari,3,Bisheswar Yadav,Male,Rastriya Janamukti Party,,165,
2,S1SUN4,1,Sunsari,4,Santosh Kumar Dahal,Male,CPN-ML,,1037,
2,S1SUN4,1,Sunsari,4,Arvind Pathak,Male,Naya Shakti Party,,280,
2,S1SUN4,1,Sunsari,4,Gyanendra Bahadur Karki,Male,Nepali Congress,Democratic Alliance,32347,1
2,S1SUN4,1,Sunsari,4,Bechan Yadav,Male,Unified RPP (Nationalist),,678,
2,S1SUN4,1,Sunsari,4,Jafar Ahmed Jamali,Male,Nepal Sanghiya Samajwadi Party,,435,
2,S1SUN4,1,Sunsari,4,Ramesh Shrestha,Male,CPN-UML,Left Alliance,25750,
2,S1SUN4,1,Sunsari,4,Dhurva Kumar Khadka,Male,Sanghiya Loktantrik Rastriya Manch,,216,
2,S1SUN4,1,Sunsari,4,Sitaram Poddar,Male,Nepali Janata Dal,,1089,
2,S1SUN4,1,Sunsari,4,Khursid Alam,Male,Independent,,8,
2,S1SUN4,1,Sunsari,4,Birsulal Urav,Male,Deshbhakta Janaganatantrik Morcha,,747,
2,S1SUN4,1,Sunsari,4,Nasim Ansari,Male,Nepali Congress (B.P.),,34,
2,S1SUN4,1,Sunsari,4,Abdul Miya,Male,Independent,,117,
2,S1SUN4,1,Sunsari,4,Ram Narayan Yadav,Male,RJP-N,,5020,
2,S1SUN4,1,Sunsari,4,Ganesh Bahadur Bista,Male,Bibeksheel Sajha Party,,286,
2,S1SUN4,1,Sunsari,4,Hasbul Mansuri,Male,Independent,,137,
2,S1SUN4,1,Sunsari,4,Adil Rai,Male,Mongol National Organization,,135,
2,S1UDA1,1,Udayapur,1,Ambar Bahadur Pariyar,Male,Deshbhakta Janaganatantrik Morcha,,96,
2,S1UDA1,1,Udayapur,1,Narayan Khadka (Dr.),Male,Nepali Congress,Democratic Alliance,33142,1
2,S1UDA1,1,Udayapur,1,Kashik Kumar Rai,Male,Sanghiya Loktantrik Rastriya Manch,,45,
2,S1UDA1,1,Udayapur,1,Gopal Rai,Male,Sanghiya Samajwadi Forum,,1196,
2,S1UDA1,1,Udayapur,1,Ram Prasad Chaulagain,Male,CPN-ML,,1295,
2,S1UDA1,1,Udayapur,1,Manju Kumar Chaudhary,Female,CPN-UML,Left Alliance,32594,
2,S1UDA1,1,Udayapur,1,Kanak Bahadur Ranamagar,Male,Unified RPP (Nationalist),,155,
2,S1UDA1,1,Udayapur,1,Gambhir Bahadur Karki,Male,CPN-Marxist,,90,
2,S1UDA1,1,Udayapur,1,Rajendra Rai,Male,RJP-N,,236,
2,S1UDA1,1,Udayapur,1,Bishwa Raj Rai,Male,Naya Shakti Party,,366,
2,S1UDA2,1,Udayapur,2,Bhupendra Rai,Male,RJP-N,,102,
2,S1UDA2,1,Udayapur,2,Khadga Bahadur Kingring Magar,Male,Mongol National Organization,,252,
2,S1UDA2,1,Udayapur,2,Bishnu Bahadur Rai Danuwar,Male,Sanghiya Samajwadi Forum,,1136,
2,S1UDA2,1,Udayapur,2,Narayan Bahadur Karki,Male,Nepali Congress,Democratic Alliance,15455,
2,S1UDA2,1,Udayapur,2,Shankar Kumar Rai,Male,CPN-Marxist,,87,
2,S1UDA2,1,Udayapur,2,Gopi Giri,Male,Unified RPP (Nationalist),,292,
2,S1UDA2,1,Udayapur,2,Suresh Kumar Rai,Male,Maoist Centre,Left Alliance,22551,1
2,S1UDA2,1,Udayapur,2,Nain Bahadur Karki,Male,Nepal Majdur Kishan Party,,99,
2,S1UDA2,1,Udayapur,2,Khumba Raj Khatri,Male,Naya Shakti Party,,245,
2,S2SAP1,2,Saptari,1,Umesh Kumar Yadav,Male,Independent,,136,
2,S2SAP1,2,Saptari,1,Sambhu Kumar Sah,Male,Independent,,107,
2,S2SAP1,2,Saptari,1,Ashok Kumar Mandal,Male,Maoist Centre,Left Alliance,18225,
2,S2SAP1,2,Saptari,1,Moti Miya,Male,Bibeksheel Sajha Party,,158,
2,S2SAP1,2,Saptari,1,Chitrasen Chaudhary Tharu,Male,CPN-Marxist,,412,
2,S2SAP1,2,Saptari,1,Shyam Mandal,Male,Independent,,47,
2,S2SAP1,2,Saptari,1,Krishna Kumar Gupta,Male,Naya Shakti Party,,1163,
2,S2SAP1,2,Saptari,1,Kushewar Sah Haluwai,Male,Bahujan Shakti Party,,163,
2,S2SAP1,2,Saptari,1,Ramdev Sah (Teli),Male,Nepali Congress,Democratic Alliance,15225,
2,S2SAP1,2,Saptari,1,Bishnudev Yadav,Male,Unified RPP (Nationalist),,714,
2,S2SAP1,2,Saptari,1,Surya Narayan Yadav (Dr.),Male,Sanghiya Samajwadi Forum,,21712,1
2,S2SAP1,2,Saptari,1,Fajil Mansuri,Male,Mongol National Organization,,246,
2,S2SAP2,2,Saptari,2,Sitaram Khatve,Male,Rastriya Shivasena Party,,137,
2,S2SAP2,2,Saptari,2,Ramkishor Mandal,Male,Unified RPP (Nationalist),,373,
2,S2SAP2,2,Saptari,2,Sanjay Kumar Yadav,Male,Independent,,42,
2,S2SAP2,2,Saptari,2,Chandeshwar Mandal,Male,Independent,,92,
2,S2SAP2,2,Saptari,2,Sakal Dev Sutihar,Male,Nepali Congress,Democratic Alliance,1840,
2,S2SAP2,2,Saptari,2,Durganand Mandal,Male,CPN-ML,,1465,
2,S2SAP2,2,Saptari,2,Desinandan Mandal,Male,Independent,,92,
2,S2SAP2,2,Saptari,2,Niro Devi Thakur,Female,Nepal Majdur Kishan Party,,45,
2,S2SAP2,2,Saptari,2,Kedar Dev,Male,Independent,,26,
2,S2SAP2,2,Saptari,2,Kamleshwari Khang,Male,Bahujan Shakti Party,,67,
2,S2SAP2,2,Saptari,2,Upendra Yadav,Male,Sanghiya Samajwadi Forum,,21620,1
2,S2SAP2,2,Saptari,2,Jiwan Kumar Mishra,Male,Independent,,77,
2,S2SAP2,2,Saptari,2,Birendra Kumar Mishra,Male,Independent,,62,
2,S2SAP2,2,Saptari,2,Umesh Kumar Yadav,Male,Maoist Centre,Left Alliance,11580,
2,S2SAP2,2,Saptari,2,Bhola Prasad Mukhiya,Male,Deshbhakta Loktantrik Party,,216,
2,S2SAP2,2,Saptari,2,Jay Prakash Thakur,Male,Independent,,9459,
2,S2SAP2,2,Saptari,2,Bikash Kumar Tiwari,Male,Independent,,73,
2,S2SAP3,2,Saptari,3,Dinesh Kumar  Yadav,Male,Nepali Congress,Democratic Alliance,19401,
2,S2SAP3,2,Saptari,3,Jhabar Prasad Ram,Male,Nepal Sanghiya Samajwadi Party,,574,
2,S2SAP3,2,Saptari,3,Bijay Kumar Yadav,Male,Independent,,42,
