Phase,Code,Province,District,National_Constituency,Province_Constituency,Contestant,Gender,Party,Votes,Won
2,S1MOR41,1,Morang,4,A,Bijay Kumar Bishwash,Male,Maoist Centre,18289,1
2,S1MOR42,1,Morang,4,B,Shreeram Kamt,Male,Sanghiya Samajwadi Forum,3621,
2,S1MOR42,1,Morang,4,B,Mo Ishlam Miya,Male,Lok Kalyankari Janata Party,80,
2,S1MOR42,1,Morang,4,B,Raj Kumar Karki,Male,Unified RPP (Nationalist),413,
2,S1MOR42,1,Morang,4,B,Prawesh Pande,Male,Deshbhakta Janaganatantrik Morcha,270,
2,S1MOR42,1,Morang,4,B,Bishwnath Rijal,Male,Nepali Congress,11625,
2,S1MOR42,1,Morang,4,B,Sanjay Bikram Adhikari,Male,Naya Shakti Party,105,
2,S1MOR42,1,Morang,4,B,Jivan Ghimire,Male,CPN-UML,13805,1
2,S1MOR51,1,Morang,5,A,Anoj Kumar Safi,Male,Independent,75,
2,S1MOR51,1,Morang,5,A,Shankar Prasad Shah,Male,RJP-N,1157,
2,S1MOR51,1,Morang,5,A,Dilip Kumar Mandal,Male,Rastriya Janamukti Party,114,
2,S1MOR51,1,Morang,5,A,Sukdev Prasad Mandal,Male,Nepali Congress,8828,
2,S1MOR51,1,Morang,5,A,Gyaneshwar Rajbansi,Male,CPN-UML,12861,1
2,S1MOR51,1,Morang,5,A,Bijay Kumar Singh,Male,Sanghiya Samajwadi Forum,8573,
2,S1MOR52,1,Morang,5,B,Jay Ram Yadav,Male,Sanghiya Samajwadi Forum,11201,1
2,S1MOR52,1,Morang,5,B,Krishan Raj Thapa,Male,CPN-ML,834,
2,S1MOR52,1,Morang,5,B,Dinesh Prasad Yadav,Male,Independent,25,
2,S1MOR52,1,Morang,5,B,Bhogendra Yadav,Male,RJP-N,1231,
2,S1MOR52,1,Morang,5,B,Rajesh Kumar Gupta,Male,Nepali Congress,9918,
2,S1MOR52,1,Morang,5,B,Parshuram Sah,Male,Naya Shakti Party,235,
2,S1MOR52,1,Morang,5,B,Jasbi Mandal,Female,Independent,416,
2,S1MOR52,1,Morang,5,B,Subhan Miya,Male,Maoist Centre,8665,
2,S1MOR52,1,Morang,5,B,Saroj Kumar Yadav,Male,Independent,31,
2,S1MOR52,1,Morang,5,B,Ram Kumar Tamang,Male,Unified RPP (Nationalist),276,
2,S1MOR61,1,Morang,6,A,Rajesh Kumar Yadav,Male,Naya Shakti Party,238,
2,S1MOR61,1,Morang,6,A,Umesh Kumar Saradar,Male,Nepal Janata Party,84,
2,S1MOR61,1,Morang,6,A,Nira Bhagat,Female,Sanghiya Samajwadi Forum,1710,
2,S1MOR61,1,Morang,6,A,Raju Kumar Kadka,Male,Nepal Majdur Kishan Party,91,
2,S1MOR61,1,Morang,6,A,Raghu Narayan Majhi,Male,Independent,102,
2,S1MOR61,1,Morang,6,A,Chum Narayan Tabdar,Male,Nepali Congress,23513,1
2,S1MOR61,1,Morang,6,A,Lal Kumari Rai,Female,Mongol National Organization,101,
2,S1MOR61,1,Morang,6,A,Raju Mandal Rajbansi,Male,RJP-N,317,
2,S1MOR61,1,Morang,6,A,Gopal Prasad Giri,Male,Independent,62,
2,S1MOR61,1,Morang,6,A,Bhagatbir Dewan,Male,Rastriya Janamukti Party,92,
2,S1MOR61,1,Morang,6,A,Jivan Acharya,Male,Maoist Centre,21470,
2,S1MOR61,1,Morang,6,A,Saroj Nepal,Male,Bibeksheel Sajha Party,618,
2,S1MOR62,1,Morang,6,B,Shyam Kumar Kamat,Male,Sanghiya Samajwadi Forum,4921,
2,S1MOR62,1,Morang,6,B,Yaduwansh Sah Haluwai,Male,RJP-N,1203,
2,S1MOR62,1,Morang,6,B,Ganesh Raj Bista,Male,Bibeksheel Sajha Party,373,
2,S1MOR62,1,Morang,6,B,Bholaman Karki,Male,RPP,443,
2,S1MOR62,1,Morang,6,B,Trilochan Gautam,Male,Naya Shakti Party,315,
2,S1MOR62,1,Morang,6,B,M. Javed Ansari,Male,Unified RPP (Nationalist),165,
2,S1MOR62,1,Morang,6,B,Ganesh Kumar Sah,Male,Independent,17,
2,S1MOR62,1,Morang,6,B,Ramesh Prasad Pokharel,Male,CPN-UML,8120,
2,S1MOR62,1,Morang,6,B,Kedar Karki,Male,Nepali Congress,11298,1
2,S1MOR62,1,Morang,6,B,Surendra Dubey,Male,Independent,283,
2,S1SUN11,1,Sunsari,1,A,Ganesh Pariyar,Male,Independent,14,
2,S1SUN11,1,Sunsari,1,A,Dalmardan Kami,Male,Naya Shakti Party,309,
2,S1SUN11,1,Sunsari,1,A,Baburam Ghimire,Male,Independent,5,
2,S1SUN11,1,Sunsari,1,A,Rajan Kumar Shrestha,Male,Bibeksheel Sajha Party,645,
2,S1SUN11,1,Sunsari,1,A,Om Krishna Udas,Male,Independent,10,
2,S1SUN11,1,Sunsari,1,A,Lok Bahadur Tamang,Male,Mongol National Organization,449,
2,S1SUN11,1,Sunsari,1,A,Pradip Kumar Bhandari,Male,CPN-UML,19243,1
2,S1SUN11,1,Sunsari,1,A,Kishor Rai,Male,Nepali Congress,13770,
2,S1SUN11,1,Sunsari,1,A,Man Bahadur Bhujel,Male,CPN-ML,845,
2,S1SUN11,1,Sunsari,1,A,Bal Kumar Rai,Male,Rastriya Janamukti Party,312,
2,S1SUN11,1,Sunsari,1,A,Purna Bahadur Limbu,Male,Sanghiya Loktrantik Rastriya Manch,856,
2,S1SUN11,1,Sunsari,1,A,Nabin Parajuli,Male,RPP,314,
2,S1SUN12,1,Sunsari,2,B,Gyanendra Bahadur Basnet,Male,Independent,22,
2,S1SUN12,1,Sunsari,1,B,Ekraj Subba,Male,CPN-ML,924,
2,S1SUN12,1,Sunsari,1,B,Arjun Bhattarai,Male,RPP,630,
2,S1SUN12,1,Sunsari,1,B,Bhim Prasad Acharya,Male,CPN-UML,20211,1
2,S1SUN12,1,Sunsari,1,B,Krishna Bahadur Limbu,Male,Mongol National Organization,326,
2,S1SUN12,1,Sunsari,1,B,Ganga Maya Darji,Female,RJP-N,111,
2,S1SUN12,1,Sunsari,1,B,Gokul Thapa,Male,Naya Shakti Party,379,
2,S1SUN12,1,Sunsari,1,B,Lakhman Rai,Male,Rastriya Janamukti Party,171,
2,S1SUN12,1,Sunsari,1,B,Bhupendra Sundar Lauti,Male,Sanghiya Loktrantik Rastriya Manch,757,
2,S1SUN12,1,Sunsari,1,B,Buddhi Bahadur Katuwal,Male,Nepali Congress,12964,
2,S1SUN21,1,Sunsari,2,A,Dil Bahadur Katuwal,Male,RPP,245,
2,S1SUN21,1,Sunsari,2,A,Yuvraj Khadka,Male,Bibeksheel Sajha Party,366,
2,S1SUN21,1,Sunsari,2,A,Kishor Kumar Rai,Male,Independent,256,
2,S1SUN21,1,Sunsari,2,A,Rajesh Chaudhary,Male,Naya Shakti Party,296,
2,S1SUN21,1,Sunsari,2,A,Bimala Tamang,Female,RJP-N,167,
2,S1SUN21,1,Sunsari,2,A,Jay Bahadur Magar,Male,Mongol National Organization,276,
2,S1SUN21,1,Sunsari,2,A,Sarwadhawaj Sawa Limbu,Male,CPN-UML,24674,1
2,S1SUN21,1,Sunsari,2,A,Bal Krishna Dhakal,Male,Independent,2,
2,S1SUN21,1,Sunsari,2,A,Ganaga Ram Chuaudhary,Male,Sanghiya Samajwadi Forum,538,
2,S1SUN21,1,Sunsari,2,A,Padam Kumar Limbu,Male,Sanghiya Loktrantik Rastriya Manch,366,
2,S1SUN21,1,Sunsari,2,A,Dinanath Sigdel,Male,Rastriya Janamorcha,57,
2,S1SUN21,1,Sunsari,2,A,Hemkarna Paudel,Male,Nepali Congress,19245,
2,S1SUN22,1,Sunsari,2,B,Mojammil Ahmed,Male,RPP,115,
2,S1SUN22,1,Sunsari,2,B,Mahadev Mehta,Male,RJP-N,1066,
2,S1SUN22,1,Sunsari,2,B,Ramesh Prasad Mehta,Male,Independent,22,
2,S1SUN22,1,Sunsari,2,B,Gyandev Pandit,Male,Naya Shakti Party,183,
2,S1SUN22,1,Sunsari,2,B,Shyam Dev Mehta,Male,CPN-ML,1176,
2,S1SUN22,1,Sunsari,2,B,Ram Prasad Mahato,Male,CPN-UML,16475,
2,S1SUN22,1,Sunsari,2,B,Sailesh Thapa,Male,Independent,23,
2,S1SUN22,1,Sunsari,2,B,Rajiv Koirala,Male,Nepali Congress,17892,1
2,S1SUN22,1,Sunsari,2,B,Kalam Miya,Male,Nepali Janata Dal,334,
2,S1SUN22,1,Sunsari,2,B,Narayan Yadav,Male,Sanghiya Samajwadi Forum,3579,
2,S1SUN31,1,Sunsari,3,A,Suresh Prasad Yadav,Male,Sanghiya Samajwadi Forum,335,
2,S1SUN31,1,Sunsari,3,A,Kumar Jung Thapa,Male,Nepali Congress,17681,
2,S1SUN31,1,Sunsari,3,A,Mohamad Sarif Rain,Male,RJP-N,123,
2,S1SUN31,1,Sunsari,3,A,Hakkim Budin Miya,Male,"Dalit, Muslim Janashakti Party",702,
2,S1SUN31,1,Sunsari,3,A,Lilam Basnet,Male,CPN-UML,19665,1
2,S1SUN31,1,Sunsari,3,A,Raj Kumar Rai,Male,Mongol National Organization,61,
2,S1SUN31,1,Sunsari,3,A,Chandra Bahadur Limbu,Male,Sanghiya Loktrantik Rastriya Manch,101,
2,S1SUN31,1,Sunsari,3,A,Dev Raj Mahat,Male,Independent,25,
2,S1SUN31,1,Sunsari,3,A,Ashok Kumar Chaudhary,Male,CPN-ML,407,
2,S1SUN32,1,Sunsari,3,B,Bhrat Lal Yadav,Male,Independent,24,
2,S1SUN32,1,Sunsari,3,B,Dhanraj Mandal,Male,Naya Shakti Party,223,
2,S1SUN32,1,Sunsari,3,B,Hari Narayan Biraji,Male,Independent,32,
2,S1SUN32,1,Sunsari,3,B,Ramesh Kumar Agrawal,Male,Independent,36,
2,S1SUN32,1,Sunsari,3,B,Kala Bati Tharuni,Female,Independent,80,
2,S1SUN32,1,Sunsari,3,B,Kaila Chaudhary,Male,Independent,49,
2,S1SUN32,1,Sunsari,3,B,Awadh Narayan Yadav,Male,Sanghiya Samajwadi Forum,2417,
2,S1SUN32,1,Sunsari,3,B,Ramdev Yadav,Male,CPN-UML,17568,
2,S1SUN32,1,Sunsari,3,B,Dinesh Kumar Mehata,Male,RJP-N,835,
2,S1SUN32,1,Sunsari,3,B,Agam Lal Chaudhary,Male,Nepali Congress,21429,1
2,S1SUN41,1,Sunsari,4,A,Mursid Ansari,Male,Independent,4,
2,S1SUN41,1,Sunsari,4,A,Indra Kala Subba,Female,Rastriya Janamukti Party,72,
2,S1SUN41,1,Sunsari,4,A,Ashok Kumar Labh Karna,Male,Nepali Janata Dal,343,
2,S1SUN41,1,Sunsari,4,A,Satrughan Prasad Yadav,Male,Unified RPP (Nationalist),108,
2,S1SUN41,1,Sunsari,4,A,Nageshwar Marbaita,Male,RJP-N,995,
2,S1SUN41,1,Sunsari,4,A,Kamalnath Dahal,Male,Independent,32,
2,S1SUN41,1,Sunsari,4,A,Jagdish Kushyait,Male,CPN-UML,16690,1
2,S1SUN41,1,Sunsari,4,A,Ram Bahadur Bista,Male,Independent,17,
2,S1SUN41,1,Sunsari,4,A,Hari Govinda Yadav,Male,Sanghiya Samajwadi Forum,2523,
2,S1SUN41,1,Sunsari,4,A,Rewati Raman Dulal,Male,Nepali Congress,15282,
2,S1SUN41,1,Sunsari,4,A,Jagat Narayan Yadav,Male,Naya Shakti Party,93,
2,S1SUN41,1,Sunsari,4,A,Tek Narayan Yadav,Male,Rastriya Janamorcha,94,
2,S1SUN41,1,Sunsari,4,A,Surya Bahadur Limbu,Male,Sanghiya Loktrantik Rastriya Manch,165,
2,S1SUN41,1,Sunsari,4,A,Bharat Raj Bhaattarai,Male,RPP,226,
2,S1SUN41,1,Sunsari,4,A,Dinesh Prasad Acharya,Male,Independent,12,
2,S1SUN42,1,Sunsari,4,B,Majebur Rahman Ansari,Male,Independent,30,
2,S1SUN42,1,Sunsari,4,B,Raje Khatbe,Male,Naya Shakti Party,203,
2,S1SUN42,1,Sunsari,4,B,Pitambar Dhungana,Male,Independent,36,
2,S1SUN42,1,Sunsari,4,B,Mohammad Tahir Miya,Male,Nepali Congress,11825,1
2,S1SUN42,1,Sunsari,4,B,Raghunath Mahato Koiri,Male,RJP-N,1696,
2,S1SUN42,1,Sunsari,4,B,Mohammad Jakir Hussain,Male,Maoist Centre,7670,
2,S1SUN42,1,Sunsari,4,B,Manoj Kumar Yadav,Male,Sanghiya Samajwadi Forum,6631,
2,S1SUN42,1,Sunsari,4,B,Sunil Kumar Sah Haluwai,Male,CPN-ML,1030,
2,S1SUN42,1,Sunsari,4,B,Hasbul Miya,Male,RPP (Democratic),2601,
2,S1SUN42,1,Sunsari,4,B,Baccha Lal Yadav,Male,RPP,604,
2,S1SUN42,1,Sunsari,4,B,Abbas Miya,Male,Sanghiya Loktrantik Rastriya Manch,118,
2,S1SUN42,1,Sunsari,4,B,Mangal Yadav,Male,Independent,46,
2,S1SUN42,1,Sunsari,4,B,Shiva Narayan Mahato,Male,Independent,31,
2,S1SUN42,1,Sunsari,4,B,Rambrichhya Yadav,Male,Independent,114,
2,S1SUN42,1,Sunsari,4,B,Deep Narayan Mehta,Male,Independent,24,
2,S1UDA11,1,Udayapur,1,A,Man Kumar Rai,Male,Jana Samajwadi Party,859,
2,S1UDA11,1,Udayapur,1,A,Dinesh Rai,Male,Nepal Sanghiya Samajwadi Party,102,
2,S1UDA11,1,Udayapur,1,A,Bidur Basnet,Male,Nepali Congress,15844,
2,S1UDA11,1,Udayapur,1,A,Bimal Karki,Male,CPN-UML,17501,1
2,S1UDA11,1,Udayapur,1,A,Saroj Singh Karki,Male,Naya Shakti Party,1,
2,S1UDA11,1,Udayapur,1,A,Khisa Bahadur Rai,Male,RJP-N,196,
2,S1UDA11,1,Udayapur,1,A,Ganesh Kumar Rai,Male,Sanghiya Samajwadi Forum,1545,
2,S1UDA12,1,Udayapur,1,B,Ram Bahadur Thapamagar,Male,Maoist Centre,15194,
2,S1UDA12,1,Udayapur,1,B,Shankar Bahadur Paudel,Male,Deshbhakta Janaganatantrik Morcha,129,
2,S1UDA12,1,Udayapur,1,B,Raj Kumar Rai,Male,Sanghiya Khumbhuwan Loktantik Party,14,
2,S1UDA12,1,Udayapur,1,B,Narayan Bahadur Thapa,Male,Unified RPP (Nationalist),296,
2,S1UDA12,1,Udayapur,1,B,Surya Narayan Sah Teli,Male,RJP-N,150,
2,S1UDA12,1,Udayapur,1,B,Ganga Dhwaj Karki,Male,Rastriya Janamorcha,58,
2,S1UDA12,1,Udayapur,1,B,Rajan Kumar Danuwar,Male,Naya Shakti Party,301,
2,S1UDA12,1,Udayapur,1,B,Ram Kumar Thapa,Male,CPN-Marxist,107,
2,S1UDA12,1,Udayapur,1,B,Himal Karki,Male,Nepali Congress,16792,1
2,S1UDA12,1,Udayapur,1,B,Pradip Kumar Chaudhary,Male,Sanghiya Samajwadi Forum,884,
2,S1UDA21,1,Udayapur,2,A,Chhiwahang Rai,Male,Sanghiya Samajwadi Forum,293,
2,S1UDA21,1,Udayapur,2,A,Hom Bahadur Dahal Khatri,Male,Independent,59,
2,S1UDA21,1,Udayapur,2,A,Bishnu Bahadur Basnet,Male,RPP (Democratic),765,
2,S1UDA21,1,Udayapur,2,A,Narayan Bahadur Magar,Male,Independent,9870,1
2,S1UDA21,1,Udayapur,2,A,Arun Kumar Rai,Male,Naya Shakti Party,90,
2,S1UDA21,1,Udayapur,2,A,Bheshha Raj Thapa Magar,Male,Nepali Congress,5934,
2,S1UDA22,1,Udayapur,2,B,Kala Ghale,Female,CPN-UML,13459,1
2,S1UDA22,1,Udayapur,2,B,Chandra Bahadur Karki,Male,Nepal Majdur Kishan Party,55,
2,S1UDA22,1,Udayapur,2,B,Ram Kumar Khatri,Male,Nepali Congress,8976,
2,S1UDA22,1,Udayapur,2,B,Osan Ghimire,Male,Naya Shakti Party,81,
2,S1UDA22,1,Udayapur,2,B,Mala Tamang,Female,RPP (Democratic),289,
2,S1UDA22,1,Udayapur,2,B,Yagya Kumar Rai,Male,Sanghiya Samajwadi Forum,860,
2,S2SAP11,2,Saptari,1,A,Subodh Kumar Pokharel,Male,Nepali Congress,8705,
2,S2SAP11,2,Saptari,1,A,Manpur Chaudhary,Male,Unified RPP (Nationalist),327,
2,S2SAP11,2,Saptari,1,A,Budha Ram Sada,Male,Sanghiya Loktrantik Rastriya Manch,132,
2,S2SAP11,2,Saptari,1,A,Satya Narayan Mandal,Male,CPN-UML,11302,1
2,S2SAP11,2,Saptari,1,A,Ashok Kumar Chaudhary,Male,Naya Shakti Party,1618,
2,S2SAP11,2,Saptari,1,A,Prakash Kumar Khatiwada,Male,Independent,151,
2,S2SAP11,2,Saptari,1,A,Raj Kumar Lekhi,Male,RJP-N,9252,
2,S2SAP11,2,Saptari,1,A,Ashok Kumar Jha,Male,Nepal Majdur Kishan Party,188,
2,S2SAP11,2,Saptari,1,A,Shivanandan Lekhi Tharu,Male,Independent,18,
2,S2SAP12,2,Saptari,1,B,"Kadam Lal Kodgiya,Yadav",Male,Unified RPP (Nationalist),358,
2,S2SAP12,2,Saptari,1,B,Narayan Thakur,Male,Independent,78,
2,S2SAP12,2,Saptari,1,B,Arbind Kumar Mehta,Male,Independent,62,
2,S2SAP12,2,Saptari,1,B,Gulairavti Devi,Female,RPP,162,
2,S2SAP12,2,Saptari,1,B,Sakil Ali Miya,Male,Maoist Centre,6257,
2,S2SAP12,2,Saptari,1,B,Nawl Kisor Sah Sudi,Male,RJP-N,13647,1
2,S2SAP12,2,Saptari,1,B,Rajiv Kumar Paikra,Male,Naya Shakti Party,219,
2,S2SAP12,2,Saptari,1,B,Badri Narayan Mahtman Yadav,Male,Nepali Congress,6333,
2,S2SAP21,2,Saptari,2,A,Dharma Narayan Rae Amat,Male,Naya Shakti Party,1475,
2,S2SAP21,2,Saptari,2,A,Jay Narayan Mandal,Male,Unified RPP (Nationalist),474,
2,S2SAP21,2,Saptari,2,A,Laxmi Sharma (Sutihar),Male,Rastriya Mukti Aandolan,187,
2,S2SAP21,2,Saptari,2,A,Ramdev Prasad Yadav,Male,RPP,454,
2,S2SAP21,2,Saptari,2,A,Yugeshwar Mandal Amat,Male,Nepal Majdur Kishan Party,52,
2,S2SAP21,2,Saptari,2,A,Jay Kant Mandal,Male,Independent,98,
2,S2SAP21,2,Saptari,2,A,Ram Ekwal Mandal,Male,Deshbhakta Janaganatantrik Morcha,263,
2,S2SAP21,2,Saptari,2,A,Shailendra Prasad Sah,Male,Sanghiya Samajwadi Forum,10577,1
2,S2SAP21,2,Saptari,2,A,Ram Brichha Mahato,Male,Independent,564,
2,S2SAP21,2,Saptari,2,A,Saroj Kumar Mandal,Male,Maoist Centre,7593,
2,S2SAP21,2,Saptari,2,A,Ranjit Karna,Male,Nepali Congress,3768,
2,S2SAP22,2,Saptari,2,B,Ganga Prasad Yadav,Male,Nepal Janata Party,598,
2,S2SAP22,2,Saptari,2,B,Mahesh Prasad Yadav,Male,Maoist Centre,4986,
2,S2SAP22,2,Saptari,2,B,Phalendra Mandal,Male,Naya Shakti Party,275,
2,S2SAP22,2,Saptari,2,B,Yasin Miya,Male,Independent,146,
2,S2SAP22,2,Saptari,2,B,Mahanand Prasad Yadav,Male,Nepali Congress,1605,
2,S2SAP22,2,Saptari,2,B,Dipesh Kumar Yadav,Male,Independent,10,
2,S2SAP22,2,Saptari,2,B,Pravananda Mehta,Male,Unified RPP (Nationalist),310,
2,S2SAP22,2,Saptari,2,B,Santosh Kumar Yadav,Male,Nepal Majdur Kishan Party,34,
2,S2SAP22,2,Saptari,2,B,Prameshwar Yadav,Male,Nepal Sanghiya Samajwadi Party,107,
2,S2SAP22,2,Saptari,2,B,Manoj Dev,Male,Independent,23,
2,S2SAP22,2,Saptari,2,B,Arun Kumar Dev,Male,Independent,1208,
2,S2SAP22,2,Saptari,2,B,Badri Narayan Jha,Male,RPP,111,
2,S2SAP22,2,Saptari,2,B,Manish Kumar Suman,Male,RJP-N,8939,1
2,S2SAP22,2,Saptari,2,B,Laxman Yadav,Male,Independent,3108,
2,S2SAP22,2,Saptari,2,B,Bijay Kumar Yadav,Male,Independent,12,
2,S2SAP22,2,Saptari,2,B,Mo. Doman,Male,Independent,221,
2,S2SAP22,2,Saptari,2,B,Mamata Kumari Das,Female,Independent,11,
2,S2SAP22,2,Saptari,2,B,Kamal Udin Miya,Male,Independent,803,
2,S2SAP22,2,Saptari,2,B,Hasim Pamariya,Male,Bahujan Shakti Party,32,
2,S2SAP31,2,Saptari,3,A,Ibrahim Mansuri,Male,Nepal Majdur Kishan Party,54,
2,S2SAP31,2,Saptari,3,A,Jagannath Mundhada,Male,Independent,309,
2,S2SAP31,2,Saptari,3,A,Tapeshwar Khang,Male,Nepal Janata Party,228,
2,S2SAP31,2,Saptari,3,A,Mo. Aalam Miya,Male,Independent,10,
2,S2SAP31,2,Saptari,3,A,Jagdish Mandal,Male,Unified RPP (Nationalist),177,
2,S2SAP31,2,Saptari,3,A,Shobhit Lal Mandal,Male,RPP,82,
2,S2SAP31,2,Saptari,3,A,Mohammad Samim,Male,Nepali Congress,11628,1
2,S2SAP31,2,Saptari,3,A,Ranjit Kumar Mandal,Male,Nepal Sanghiya Samajwadi Party,150,
2,S2SAP31,2,Saptari,3,A,Balak Das Chaudhary,Male,Lok Kalyankari Janata Party,61,
2,S2SAP31,2,Saptari,3,A,Dinesh Kumar Yadav,Male,RJP-N,9979,
2,S2SAP31,2,Saptari,3,A,Mahesh Prasad Chaudhary,Male,CPN-UML,4602,
2,S2SAP31,2,Saptari,3,A,Satya Narayan Yadav,Male,Independent,24,
2,S2SAP31,2,Saptari,3,A,Ramdutta Sah,Male,Naya Shakti Party,653,
2,S2SAP31,2,Saptari,3,A,Junav Miya,Male,Independent,8,
2,S2SAP31,2,Saptari,3,A,Jayram Yadav,Male,Independent,27,
2,S2SAP31,2,Saptari,3,A,Umesh Kumar Rajak,Male,Deshbhakta Janaganatantrik Morcha,43,
2,S2SAP31,2,Saptari,3,A,Shreeram Mandal,Male,Bahujan Shakti Party,46,
2,S2SAP32,2,Saptari,3,B,Bechu Sada,Male,Unified RPP (Nationalist),335,
2,S2SAP32,2,Saptari,3,B,Kamruddin Sheikh,Male,Nepal Majdur Kishan Party,55,
2,S2SAP32,2,Saptari,3,B,Judha Narayan Mandal,Male,Deshbhakta Janaganatantrik Morcha,131,
2,S2SAP32,2,Saptari,3,B,Bhagwati Prasad Yadav,Male,Nepali Congress,6212,
2,S2SAP32,2,Saptari,3,B,Raj Lal Sah (Teli),Male,Nepal Sanghiya Samajwadi Party,562,
2,S2SAP32,2,Saptari,3,B,Mo. Salim,Male,RPP,103,
2,S2SAP32,2,Saptari,3,B,Jawaharlal Yadav,Male,Independent,216,
2,S2SAP32,2,Saptari,3,B,Bideshwar Prasad Yadav,Male,RJP-N,10328,1
2,S2SAP32,2,Saptari,3,B,Bindu Thakur,Male,Rastriya Shivasena Party,24,
2,S2SAP32,2,Saptari,3,B,Birendra Kumar Yadav,Male,Independent,22,
2,S2SAP32,2,Saptari,3,B,Surendra Prasad Yadav,Male,Independent,2772,
2,S2SAP32,2,Saptari,3,B,Abdul Majid Sakir,Male,CPN-UML,5573,
2,S2SAP32,2,Saptari,3,B,Dambar Narayan Sah Teli,Male,Naya Shakti Party,1094,
2,S2SAP41,2,Saptari,4,A,Sitaram Sah,Male,Nepali Congress,11395,
2,S2SAP41,2,Saptari,4,A,Amresh Kumar Sah,Male,Independent,15,
2,S2SAP41,2,Saptari,4,A,Devanand Chaudhary,Male,Unified RPP (Nationalist),158,
2,S2SAP41,2,Saptari,4,A,Dipendra Kumar Chaudhary Tharu,Male,Independent,14,
2,S2SAP41,2,Saptari,4,A,Binod Kumar Chaudhary,Male,Sanghiya Samajwadi Forum,3827,
2,S2SAP41,2,Saptari,4,A,Abita Bishwakarma,Female,Deshbhakta Janaganatantrik Morcha,181,
2,S2SAP41,2,Saptari,4,A,Chaturanand Singh,Male,Independent,13,
2,S2SAP41,2,Saptari,4,A,Tara Prasad Chaudhary (Kaalwar),Male,Independent,183,
2,S2SAP41,2,Saptari,4,A,Rameshwar Sahu Teli,Male,Nepali Janata Dal,293,
2,S2SAP41,2,Saptari,4,A,Kisan Bati Chaudhary,Female,Naya Shakti Party,272,
2,S2SAP41,2,Saptari,4,A,Govinda Bahadur Neupane,Male,CPN-UML,15113,1
2,S2SAP42,2,Saptari,4,B,Ram Prasad Mandal,Male,Independent,60,
2,S2SAP42,2,Saptari,4,B,Ram Bilas Sadaya,Male,Nepali Janata Dal,447,
2,S2SAP42,2,Saptari,4,B,Abhiram Yadav,Male,Lok Kalyankari Janata Party,278,
2,S2SAP42,2,Saptari,4,B,Bisho Kumar Yadav,Male,Sanghiya Loktrantik Rastriya Manch,203,
2,S2SAP42,2,Saptari,4,B,Brajesh Kumar Yadav,Male,Independent,24,
2,S2SAP42,2,Saptari,4,B,Ram Lagan Sah,Male,Independent,27,
2,S2SAP42,2,Saptari,4,B,Mo. Sahmud Miya,Male,Nepal Sanghiya Samajwadi Party,1510,
2,S2SAP42,2,Saptari,4,B,Abhishek Yadav,Male,Sanghiya Samajwadi Forum,9605,1
2,S2SAP42,2,Saptari,4,B,Shashi Kumar Yadav,Male,Maoist Centre,4479,
2,S2SAP42,2,Saptari,4,B,Om Prakash Sah,Male,Independent,130,
2,S2SAP42,2,Saptari,4,B,Baleshwar Prasad Yadav,Male,Independent,1013,
2,S2SAP42,2,Saptari,4,B,Bibekananda  Jha,Male,Nepali Congress,7336,
2,S2SIR11,2,Siraha,1,A,Baidhanatha Prasad Sah Teli,Male,Sanghiya Samajwadi Forum,5868,
2,S2SIR11,2,Siraha,1,A,Lalita Das,Female,Independent,98,
2,S2SIR11,2,Siraha,1,A,Anil Kumar Chaudhary,Male,Naya Shakti Party,68,
2,S2SIR11,2,Siraha,1,A,Rajendra Prasad Yadav,Male,Nepal Janata Party,60,
2,S2SIR11,2,Siraha,1,A,Santosh Kumar Chaudhary,Male,Nepali Congress,10699,
2,S2SIR11,2,Siraha,1,A,Sambhu Chaudhary,Male,Independent,17,
2,S2SIR11,2,Siraha,1,A,Bijay Kumar Gupta,Male,Deshbhakta Janaganatantrik Morcha,182,
2,S2SIR11,2,Siraha,1,A,Prem Kumar Kushwaha,Male,Independent,14,
2,S2SIR11,2,Siraha,1,A,Nanda Kishor Sah,Male,Independent,9,
2,S2SIR11,2,Siraha,1,A,Lagan Lal Chaudhary,Male,CPN-UML,11542,1
2,S2SIR11,2,Siraha,1,A,Sushma Kumari Yadav,Female,RPP,98,
2,S2SIR11,2,Siraha,1,A,Deep Narayan Bishwakarma,Male,Bahujan Shakti Party,89,
2,S2SIR11,2,Siraha,1,A,Ramdayal Pasman,Male,Nepal Majdur Kishan Party,80,
2,S2SIR11,2,Siraha,1,A,Rukesh Kumar Sah,Male,Independent,12,
2,S2SIR12,2,Siraha,1,B,Raj Dev Yadav,Male,RPP,48,
2,S2SIR12,2,Siraha,1,B,Dev Nath Yadav,Male,Nepali Congress,8984,
2,S2SIR12,2,Siraha,1,B,Bhogendra Yadav,Male,Independent,31,
2,S2SIR12,2,Siraha,1,B,Rajkumar Gupta,Male,Sanghiya Samajwadi Forum,10608,
2,S2SIR12,2,Siraha,1,B,Sampati Mandal Dhanuk,Male,Independent,5,
2,S2SIR12,2,Siraha,1,B,Ashok Kumar Yadav,Male,CPN-UML,11110,1
2,S2SIR12,2,Siraha,1,B,Ramsuphal Sadaya,Male,Bahujan Shakti Party,538,
2,S2SIR12,2,Siraha,1,B,Dhanik Lal Mandal,Male,Independent,57,
2,S2SIR12,2,Siraha,1,B,Siriya Pasman,Male,Nepal Majdur Kishan Party,83,
